_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,G2018,notesG2018,S2016_HII,HII?
6281,6281,7.54E-10,2.96E-09,0.001933438,0.001169602,96,1.62E-05,1.07E-05,3.81E-05,2.52E-05,-166.6125671,1.32E-05,266.8302341,-28.38985824,0,42.09993286,2,,core_130,,,
6371,6371,3.18E-10,1.02E-09,0.000344702,0.000298351,33,9.30E-06,7.86E-06,2.19E-05,1.85E-05,165.4509361,8.55E-06,266.8251875,-28.38939136,0,4.936396983,2,Might be another source close by,core_164,,,
6834,6834,6.06E-10,2.13E-09,0.001106922,0.000758471,69,1.77E-05,7.88E-06,4.16E-05,1.86E-05,130.3335461,1.18E-05,266.831281,-28.38796472,0,12.85772991,2,,core_148,Fragmented,,
6845,6845,3.04E-10,1.08E-09,0.000472127,0.000443452,35,1.09E-05,6.38E-06,2.57E-05,1.50E-05,145.7241256,8.35E-06,266.8313597,-28.38795068,0,5.887616306,2,,core_148,Fragmented,,
7255,7255,1.58E-09,5.46E-09,0.002507554,0.000588423,177,2.05E-05,1.77E-05,4.83E-05,4.17E-05,51.50265794,1.91E-05,266.8311113,-28.38701029,0,20.6841803,2,,core_131,Same flux?,,
7471,7471,3.00E-10,9.57E-10,0.000310109,0.000270537,31,1.17E-05,5.92E-06,2.75E-05,1.39E-05,148.7463803,8.31E-06,266.8318581,-28.38652578,0,5.641635347,2,Could be not real,,,,
7543,7543,1.94E-10,6.48E-10,0.000238499,0.000336085,21,8.95E-06,4.98E-06,2.11E-05,1.17E-05,118.8508899,6.67E-06,266.8334024,-28.38640531,0,6.943552336,2,,,,,
7560,7560,5.28E-10,1.54E-09,0.000661872,0.000327148,50,1.22E-05,9.92E-06,2.88E-05,2.34E-05,67.41284047,1.10E-05,266.8319313,-28.38632134,0,8.722007963,2,,,,,
7573,7573,1.62E-10,5.25E-10,0.000239274,0.000359355,17,6.89E-06,5.40E-06,1.62E-05,1.27E-05,161.76605,6.10E-06,266.8318933,-28.38629439,0,6.805460716,2,,,,,
7605,7605,8.51E-10,2.99E-09,0.001348513,0.000472329,97,1.65E-05,1.19E-05,3.87E-05,2.80E-05,79.57882835,1.40E-05,266.8255258,-28.38617155,0,10.57667202,2,,core_216,,,
7622,7622,4.21E-10,1.45E-09,0.001004999,0.00070541,47,1.17E-05,8.26E-06,2.76E-05,1.95E-05,133.8203449,9.83E-06,266.8319027,-28.38613927,0,9.156112584,2,,,,,
7627,7627,4.07E-10,1.27E-09,0.000817247,0.000663295,41,1.39E-05,6.74E-06,3.26E-05,1.59E-05,165.0499207,9.66E-06,266.8319783,-28.38613212,0,8.565976379,2,,,,,
7637,7637,7.85E-10,2.84E-09,0.001546806,0.000638179,92,1.72E-05,1.05E-05,4.04E-05,2.48E-05,110.9826856,1.34E-05,266.8330388,-28.38607391,0,13.32163863,2,,core_168,,,
7678,7678,6.46E-10,2.07E-09,0.000817059,0.000387173,67,1.84E-05,8.06E-06,4.33E-05,1.90E-05,122.7955809,1.22E-05,266.8333222,-28.38599241,0,6.072339255,0,Fillament?,,,,
7691,7691,1.10E-09,4.32E-09,0.003562782,0.001505214,140,1.82E-05,1.39E-05,4.29E-05,3.27E-05,148.4836649,1.59E-05,266.8320559,-28.3859214,0,26.35926597,2,,core_89,,,
7721,7721,3.33E-10,1.11E-09,0.000416758,0.00033836,36,9.87E-06,7.76E-06,2.32E-05,1.83E-05,146.8241254,8.75E-06,266.8329167,-28.38588347,0,5.080929116,2,,,,,
7741,7741,1.41E-09,4.01E-09,0.001950966,0.000676843,130,2.21E-05,1.47E-05,5.21E-05,3.46E-05,148.4068556,1.80E-05,266.8306542,-28.3858118,0,9.399307111,2,,core_91,,,
7752,7752,8.77E-10,3.21E-09,0.00149431,0.000562803,104,2.08E-05,9.70E-06,4.89E-05,2.29E-05,94.29139048,1.42E-05,266.8318823,-28.38577637,0,8.709523306,0,Fillament?,,,,
7765,7765,7.72E-10,2.72E-09,0.001540016,0.000853649,88,1.64E-05,1.08E-05,3.86E-05,2.55E-05,-149.5938907,1.33E-05,266.8320389,-28.38577217,0,13.86945359,2,,,,,
7779,7779,3.36E-10,1.08E-09,0.000369363,0.000282876,35,1.01E-05,7.62E-06,2.38E-05,1.79E-05,120.9425556,8.78E-06,266.8285248,-28.38575813,0,5.386136592,2,,,,,
7781,7781,9.95E-09,1.73E-08,0.00624867,0.001078171,559,7.61E-05,3.00E-05,0.000179261,7.07E-05,78.044483,4.78E-05,266.8315203,-28.3856662,0,28.46927026,3,min delta,,,,
7802,7802,4.16E-09,1.66E-08,0.020683151,0.004973722,539,4.22E-05,2.26E-05,9.94E-05,5.32E-05,-148.2196137,3.09E-05,266.8317337,-28.38562449,0,61.32331876,3,hmm,core_88,,,
7821,7821,1.50E-09,8.21E-09,0.025230202,0.007136187,266,1.95E-05,1.76E-05,4.60E-05,4.15E-05,176.7957662,1.85E-05,266.8346848,-28.38560402,0,77.52555592,2,HII region?,,,I10.52,2
7845,7845,8.21E-10,2.41E-09,0.001406921,0.000538459,78,2.19E-05,8.61E-06,5.15E-05,2.03E-05,165.1309156,1.37E-05,266.8318716,-28.38556652,0,7.648495751,2,,,,,
7872,7872,8.69E-10,2.44E-09,0.000894643,0.000425001,79,2.17E-05,9.22E-06,5.10E-05,2.17E-05,175.4268955,1.41E-05,266.8308821,-28.38551524,0,6.188622009,3,min delta,core_165,,,
7882,7882,1.06E-09,3.33E-09,0.001391718,0.000542374,108,2.06E-05,1.18E-05,4.86E-05,2.79E-05,149.2386178,1.56E-05,266.8317004,-28.38548043,0,9.644803667,3,min value,,,,
7888,7888,3.11E-09,7.81E-09,0.003891083,0.001060787,253,3.60E-05,1.98E-05,8.49E-05,4.67E-05,-144.3754149,2.67E-05,266.8309991,-28.38546594,0,18.70493943,3,"min delta, two sources",core_165,,,
7899,7899,1.03E-09,2.84E-09,0.000891335,0.000310492,92,2.91E-05,8.18E-06,6.84E-05,1.93E-05,-142.5438419,1.54E-05,266.8286326,-28.38544529,0,7.615032978,3,Two sources?,,,,
7926,7926,5.62E-10,1.67E-09,0.000544558,0.000291556,54,1.18E-05,1.10E-05,2.77E-05,2.58E-05,69.03698678,1.14E-05,266.826031,-28.38539878,0,10.42153617,2,,core_221,,,
7930,7930,6.64E-10,2.62E-09,0.002256576,0.001157333,85,1.45E-05,1.05E-05,3.42E-05,2.47E-05,139.6991192,1.23E-05,266.8316576,-28.3853859,0,15.97006711,2,,core_226,,,
7955,7955,2.76E-10,8.64E-10,0.000812246,0.000755439,28,8.69E-06,7.29E-06,2.05E-05,1.72E-05,46.03923947,7.96E-06,266.8343648,-28.38536794,0,6.298341703,2,,core_239,,,
7983,7983,3.79E-10,1.17E-09,0.001018265,0.00068196,38,1.52E-05,5.71E-06,3.58E-05,1.34E-05,163.9608284,9.32E-06,266.8315169,-28.38532995,0,11.25321739,0,Fillament?,core_226,,,
7998,7998,1.24E-09,2.96E-09,0.003155959,0.001270708,96,2.27E-05,1.25E-05,5.35E-05,2.95E-05,-172.1646338,1.69E-05,266.831607,-28.38528891,0,17.2997449,2,Contour,core_226,,,
8007,8007,8.07E-10,3.02E-09,0.001848702,0.000815314,98,1.74E-05,1.06E-05,4.11E-05,2.50E-05,174.4682153,1.36E-05,266.8311161,-28.38526665,0,14.45121463,3,Maybe two sources,core_166,,,
8016,8016,4.45E-10,1.51E-09,0.000623254,0.000409267,49,1.48E-05,6.90E-06,3.49E-05,1.63E-05,135.0770758,1.01E-05,266.82599,-28.38525723,0,10.23691726,2,,,,,
8020,8020,1.71E-09,5.52E-09,0.003045073,0.001182917,179,3.17E-05,1.24E-05,7.45E-05,2.92E-05,86.86530387,1.98E-05,266.8328848,-28.38520456,0,10.93046464,3,min value,,,,
8034,8034,8.56E-10,2.78E-09,0.00111295,0.000544686,90,2.69E-05,7.30E-06,6.34E-05,1.72E-05,149.4822028,1.40E-05,266.8287595,-28.38521771,0,11.56424543,2,,,,,
8047,8047,4.47E-10,1.60E-09,0.000732567,0.00052048,52,1.12E-05,9.16E-06,2.64E-05,2.16E-05,170.0421359,1.01E-05,266.8240157,-28.38520409,0,15.01622011,2,,core_154,,,
8061,8061,3.20E-09,7.62E-09,0.002803955,0.000428739,247,3.07E-05,2.39E-05,7.23E-05,5.64E-05,122.4642903,2.71E-05,266.8292076,-28.38515919,0,10.31179682,3,min delta,,,,
8076,8076,9.18E-10,3.43E-09,0.001827133,0.000729997,111,1.80E-05,1.17E-05,4.23E-05,2.76E-05,163.5400389,1.45E-05,266.8289872,-28.38515024,0,21.56743097,2,,,,,
8124,8124,3.90E-10,1.30E-09,0.000493599,0.000360396,42,1.35E-05,6.62E-06,3.18E-05,1.56E-05,137.0483287,9.46E-06,266.8265394,-28.3850699,0,13.08267209,2,,core_153,,,
8277,8277,8.66E-10,2.44E-09,0.000739496,0.000258541,79,1.93E-05,1.03E-05,4.56E-05,2.42E-05,92.89956335,1.41E-05,266.8245162,-28.38477759,0,5.732887353,0,Not sure,,,,
8321,8321,8.84E-09,2.58E-08,0.01117584,0.001134046,836,5.86E-05,3.46E-05,0.000137901,8.16E-05,77.0167865,4.50E-05,266.8295195,-28.38456823,0,18.99533454,3,min delta,,,,
8332,8332,6.42E-10,2.28E-09,0.001030286,0.00051651,74,1.34E-05,1.10E-05,3.16E-05,2.58E-05,109.4324708,1.21E-05,266.8292819,-28.38468018,0,23.03503883,2,,,,,
8335,8335,2.25E-10,7.72E-10,0.000306486,0.00038063,25,9.53E-06,5.42E-06,2.24E-05,1.28E-05,149.1109065,7.19E-06,266.8247379,-28.38468858,0,11.21310733,2,,core_215,,,
8378,8378,4.22E-10,1.42E-09,0.000569596,0.000410215,46,1.13E-05,8.62E-06,2.65E-05,2.03E-05,115.4588658,9.85E-06,266.8250038,-28.38457515,0,6.85444578,2,,,,,
8382,8382,2.45E-10,8.95E-10,0.000459769,0.000555673,29,8.57E-06,6.56E-06,2.02E-05,1.54E-05,145.1277571,7.49E-06,266.8245279,-28.38457265,0,14.89561123,2,,,,,
8411,8411,3.35E-09,9.41E-09,0.004342012,0.001052654,305,4.19E-05,1.84E-05,9.86E-05,4.33E-05,126.1548034,2.77E-05,266.8323954,-28.38441187,0,15.82908932,3,min delta,,,,
8414,8414,4.02E-09,1.14E-08,0.008831442,0.002156062,369,3.72E-05,2.48E-05,8.76E-05,5.84E-05,99.11101239,3.04E-05,266.8281203,-28.38441512,0,21.90984421,3,Contour,core_132,,,
8419,8419,1.57E-10,5.25E-10,0.000180178,0.000292874,17,6.76E-06,5.35E-06,1.59E-05,1.26E-05,160.5574341,6.01E-06,266.8292044,-28.38446548,0,9.697664059,2,,,,,
8426,8426,3.32E-09,8.43E-09,0.003709747,0.00073338,273,4.12E-05,1.85E-05,9.71E-05,4.36E-05,133.8626828,2.76E-05,266.8311946,-28.38439505,0,13.82031171,3,Bad contour,,,,
8443,8443,2.38E-09,1.06E-08,0.011234986,0.003056953,342,3.13E-05,1.75E-05,7.36E-05,4.12E-05,-162.1683204,2.34E-05,266.8251238,-28.38434233,0,50.15347848,2,,core_85,,,
8455,8455,3.00E-10,1.05E-09,0.000429227,0.00043266,34,8.81E-06,7.81E-06,2.08E-05,1.84E-05,117.7233043,8.30E-06,266.8283733,-28.38437563,0,10.76167581,2,,,,,
8456,8456,8.45E-10,3.09E-09,0.001650439,0.000700641,100,1.98E-05,9.82E-06,4.65E-05,2.31E-05,162.6049271,1.39E-05,266.8280179,-28.38436492,0,8.510001335,2,,,,,
8461,8461,2.26E-09,6.39E-09,0.002479613,0.000327964,207,3.80E-05,1.37E-05,8.95E-05,3.22E-05,102.3035095,2.28E-05,266.8310834,-28.38430824,0,5.575806576,0,,,,,
8478,8478,1.29E-09,3.98E-09,0.001595589,0.000338952,129,2.03E-05,1.45E-05,4.79E-05,3.42E-05,106.2487117,1.72E-05,266.8309882,-28.38431663,0,3.94712399,3,Two sources,,,,
8502,8502,7.94E-10,2.50E-09,0.000853317,0.000299501,81,1.57E-05,1.16E-05,3.70E-05,2.73E-05,85.68123382,1.35E-05,266.8279361,-28.38427174,0,6.884370657,2,Extended,,,,
8515,8515,1.33E-09,4.75E-09,0.003758659,0.00138798,154,2.59E-05,1.17E-05,6.11E-05,2.76E-05,100.7321847,1.74E-05,266.8315023,-28.38420683,0,10.03135925,3,min delta,,,,
8516,8516,4.97E-10,2.04E-09,0.001445089,0.00103586,66,1.18E-05,9.66E-06,2.78E-05,2.27E-05,-178.3546943,1.07E-05,266.8314039,-28.38425415,0,7.805751727,2,,,,,
8518,8518,2.12E-09,5.96E-09,0.002035125,0.000315839,193,3.04E-05,1.60E-05,7.15E-05,3.78E-05,143.2590237,2.21E-05,266.8312133,-28.38422822,0,4.930250001,0,,,,,
8526,8526,5.83E-10,2.19E-09,0.001134288,0.000741018,71,1.28E-05,1.04E-05,3.03E-05,2.45E-05,64.05408303,1.16E-05,266.8308315,-28.38424162,0,20.77244689,2,,,,,
8527,8527,7.63E-10,2.35E-09,0.000755708,0.000270815,76,1.85E-05,9.47E-06,4.35E-05,2.23E-05,-147.8052034,1.32E-05,266.8287395,-28.38423545,0,6.375602702,2,,,,,
8562,8562,9.18E-10,3.27E-09,0.0018988,0.00074181,106,2.02E-05,1.04E-05,4.76E-05,2.46E-05,79.17335361,1.45E-05,266.8307344,-28.38418935,0,15.64711085,3,"min delta, two sources",core_93,,,
8577,8577,2.23E-09,4.69E-09,0.00212022,0.000379363,152,3.01E-05,1.70E-05,7.08E-05,4.01E-05,140.0620717,2.26E-05,266.8314155,-28.38415794,0,2.721195031,0,,,,,
8579,8579,1.99E-09,6.33E-09,0.002740358,0.000757598,205,3.84E-05,1.19E-05,9.03E-05,2.80E-05,65.90653275,2.14E-05,266.8295504,-28.38411186,0,8.971852433,3,min delta,,,,
8593,8593,3.60E-10,1.14E-09,0.000576509,0.000432105,37,1.18E-05,6.98E-06,2.78E-05,1.64E-05,153.0568488,9.09E-06,266.8314954,-28.38414083,0,2.361656752,0,,,,,
8603,8603,3.44E-10,1.33E-09,0.000772751,0.000718946,43,9.80E-06,8.06E-06,2.31E-05,1.90E-05,139.8629133,8.89E-06,266.8300633,-28.38413189,0,27.70636631,2,,,,,
8629,8629,9.44E-10,3.49E-09,0.00264711,0.001217587,113,2.24E-05,9.69E-06,5.27E-05,2.28E-05,129.6512316,1.47E-05,266.8315132,-28.38405677,0,9.473987339,2,,,,,
8762,8762,3.64E-10,1.30E-09,0.000561841,0.000467008,42,1.14E-05,7.32E-06,2.69E-05,1.72E-05,130.7666154,9.15E-06,266.828431,-28.38383995,0,8.468391989,2,,,,,
8858,8858,3.84E-10,1.33E-09,0.000544715,0.000427575,43,1.11E-05,7.96E-06,2.61E-05,1.87E-05,153.9837145,9.39E-06,266.8284929,-28.38350919,0,10.40587592,2,,,,,
8885,8885,3.35E-09,1.24E-08,0.008396946,0.001416944,402,3.90E-05,1.97E-05,9.19E-05,4.64E-05,-174.3106787,2.77E-05,266.8338729,-28.38340601,0,11.86765581,2,,,,F10.32,
8894,8894,5.56E-10,2.56E-09,0.002378463,0.001568985,83,1.23E-05,1.03E-05,2.90E-05,2.44E-05,141.8841203,1.13E-05,266.8255672,-28.38338803,0,47.19675814,2,,core_84,,,
8998,8998,3.09E-10,1.14E-09,0.000580903,0.000590249,37,9.09E-06,7.81E-06,2.14E-05,1.84E-05,101.6413774,8.43E-06,266.8283187,-28.38306673,0,20.93402055,2,,,,,
9133,9133,2.90E-10,1.02E-09,0.000421691,0.000429487,33,9.30E-06,7.15E-06,2.19E-05,1.68E-05,119.6254097,8.16E-06,266.8278755,-28.38279219,0,11.87254999,2,,,,,
9228,9228,1.27E-09,4.10E-09,0.002154778,0.000646598,133,2.04E-05,1.44E-05,4.80E-05,3.38E-05,46.9437498,1.71E-05,266.8336907,-28.38254404,0,6.767632827,2,,core_169,,,
9235,9235,4.73E-10,1.76E-09,0.000893151,0.000595759,57,1.10E-05,9.84E-06,2.60E-05,2.32E-05,155.3946815,1.04E-05,266.8279283,-28.38255082,0,20.95419662,2,,,,,
9263,9263,1.40E-09,4.51E-09,0.002741478,0.00085348,146,2.20E-05,1.46E-05,5.18E-05,3.43E-05,96.9408585,1.79E-05,266.828002,-28.38242049,0,13.26609789,3,min delta,core_246,"Fragmented, dense region",,
9274,9274,8.62E-10,2.22E-09,0.000818194,0.000340693,72,2.81E-05,7.05E-06,6.61E-05,1.66E-05,105.4531132,1.41E-05,266.8282266,-28.38240396,0,5.838329715,0,,,,,
9277,9277,8.05E-10,3.24E-09,0.002453625,0.001186173,105,1.88E-05,9.85E-06,4.42E-05,2.32E-05,132.0816252,1.36E-05,266.8268408,-28.38239979,0,39.95740525,2,,core_95,Same flux?,,
9290,9290,6.70E-10,2.28E-09,0.001107983,0.000547924,74,1.50E-05,1.03E-05,3.52E-05,2.42E-05,123.545902,1.24E-05,266.8281778,-28.38238023,0,4.75542874,2,,,,,
9309,9309,6.85E-10,2.10E-09,0.000871745,0.00040373,68,1.39E-05,1.13E-05,3.28E-05,2.66E-05,140.8044348,1.25E-05,266.8281151,-28.38235123,0,4.254907447,0,Not sure,core_246,"Fragmented, dense region",,
9313,9313,2.34E-09,6.57E-09,0.004451024,0.001271104,213,3.07E-05,1.75E-05,7.24E-05,4.12E-05,119.7529165,2.32E-05,266.8279905,-28.38232988,0,9.513410719,3,min delta,core_246,"Fragmented, dense region",,
9333,9333,7.19E-10,2.87E-09,0.001583891,0.000798301,93,1.41E-05,1.17E-05,3.32E-05,2.76E-05,132.4785238,1.28E-05,266.8281894,-28.382291,0,11.53767586,2,,,,,
9365,9365,5.10E-10,1.64E-09,0.000689289,0.000388609,53,1.24E-05,9.40E-06,2.93E-05,2.21E-05,-141.9076303,1.08E-05,266.828069,-28.38223457,0,11.03744362,2,,,,,
