_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,B3_match
581,581,1.30E-09,2.96E-09,0.028752203,0.005537528,383,1.84E-05,1.62E-05,4.34E-05,3.82E-05,173.9542187,1.73E-05,266.8320597,-28.38592442,0,10.85112057,3,bad contour,7691
588,588,8.32E-10,2.49E-09,0.013707835,0.002573678,323,1.55E-05,1.23E-05,3.64E-05,2.91E-05,167.9361224,1.38E-05,266.8329281,-28.3858858,0,3.349783944,2,,7721
591,591,2.70E-10,8.49E-10,0.00422075,0.001901887,110,1.32E-05,4.69E-06,3.11E-05,1.10E-05,173.2647586,7.88E-06,266.8319895,-28.38587129,0,4.067790265,0,,
596,596,1.95E-10,5.79E-10,0.004581511,0.002646944,75,8.84E-06,5.05E-06,2.08E-05,1.19E-05,167.732397,6.68E-06,266.8306312,-28.38584469,0,4.425008053,0,,
601,601,1.25E-09,3.03E-09,0.028014012,0.003532791,393,3.21E-05,8.94E-06,7.55E-05,2.11E-05,-175.7956974,1.69E-05,266.8306437,-28.38580216,0,5.945985916,2,Multiple sources,7741
603,603,8.38E-10,2.65E-09,0.014664202,0.002336774,344,2.13E-05,9.03E-06,5.02E-05,2.13E-05,95.27200465,1.39E-05,266.8318802,-28.38578238,0,5.899076062,1,Not sure,
608,608,7.55E-10,2.15E-09,0.013298572,0.002343422,278,2.12E-05,8.17E-06,5.00E-05,1.92E-05,176.9327151,1.32E-05,266.8285512,-28.38579429,0,5.671138038,1,Source nearby not in catalog,
612,612,6.30E-10,2.11E-09,0.01628978,0.004023426,274,1.61E-05,8.97E-06,3.80E-05,2.11E-05,-170.0293997,1.20E-05,266.8320366,-28.38577166,0,5.726626776,2,,7765
622,622,4.70E-10,1.68E-09,0.011714382,0.00350463,218,1.16E-05,9.29E-06,2.74E-05,2.19E-05,171.3024514,1.04E-05,266.8315547,-28.38573044,0,10.79163096,2,,7781
625,625,8.73E-10,2.73E-09,0.013331617,0.00187618,354,1.83E-05,1.09E-05,4.32E-05,2.58E-05,160.4001184,1.42E-05,266.830714,-28.38569693,0,7.325803284,2,,0
641,641,2.91E-09,8.96E-09,0.154386607,0.015119376,1161,4.21E-05,1.59E-05,9.92E-05,3.73E-05,-160.6409874,2.58E-05,266.8317409,-28.38562207,0,9.548982377,2,"Bad contour, two sources\",7802
642,642,1.32E-10,3.94E-10,0.003582213,0.002936239,51,6.19E-06,4.90E-06,1.46E-05,1.15E-05,87.08264995,5.51E-06,266.8317303,-28.38566729,0,1.603094252,0,,
651,651,2.63E-10,8.10E-10,0.00374813,0.001560616,105,9.27E-06,6.51E-06,2.18E-05,1.53E-05,140.1051891,7.76E-06,266.8346924,-28.38560899,0,2.603694954,2,Resolved?,7821
662,662,5.83E-10,1.80E-09,0.015365892,0.003790585,233,2.12E-05,6.32E-06,4.99E-05,1.49E-05,171.1491863,1.16E-05,266.8318715,-28.38556589,0,3.267504135,1,Fillament,7845
665,665,1.09E-09,3.13E-09,0.017236627,0.002773145,405,1.98E-05,1.27E-05,4.65E-05,3.00E-05,165.3595093,1.59E-05,266.8308857,-28.3855129,0,7.274945621,1,Maybe,7872
672,672,3.01E-10,9.95E-10,0.019706727,0.009029272,129,1.00E-05,6.88E-06,2.36E-05,1.62E-05,162.9458222,8.31E-06,266.8310262,-28.38547771,0,9.152388893,2,,7888
673,673,6.41E-11,1.93E-10,0.002855245,0.004532322,25,5.76E-06,2.56E-06,1.36E-05,6.02E-06,170.8131674,3.84E-06,266.830984,-28.38548705,0,4.473741228,1,Maybe,
674,674,4.24E-10,1.47E-09,0.009395891,0.002862339,191,1.30E-05,7.52E-06,3.05E-05,1.77E-05,171.9948097,9.87E-06,266.8317046,-28.38547321,0,8.053038804,2,,7882
680,680,3.31E-10,9.72E-10,0.005673966,0.002113553,126,1.36E-05,5.61E-06,3.19E-05,1.32E-05,-151.0546776,8.72E-06,266.8286376,-28.38545143,0,5.839934636,1,,7899
684,684,2.40E-10,8.02E-10,0.005662405,0.003357676,104,1.12E-05,4.92E-06,2.63E-05,1.16E-05,178.4899841,7.42E-06,266.8286006,-28.38542152,0,10.32849674,2,,7899
690,690,5.46E-10,2.05E-09,0.017725133,0.005077064,266,1.29E-05,9.70E-06,3.04E-05,2.28E-05,155.7442561,1.12E-05,266.8316547,-28.38538756,0,10.12737263,2,,7930
710,710,3.11E-10,9.26E-10,0.009333769,0.003448042,120,1.72E-05,4.16E-06,4.05E-05,9.79E-06,163.0968164,8.46E-06,266.8315217,-28.38532785,0,5.164521431,0,,
716,716,8.50E-10,2.28E-09,0.026632328,0.004926417,295,1.60E-05,1.22E-05,3.76E-05,2.88E-05,179.20353,1.40E-05,266.8316024,-28.38528854,0,5.101897492,2,Multiple sources,7998
737,737,1.00E-09,3.44E-09,0.025928506,0.004025839,446,2.33E-05,9.85E-06,5.49E-05,2.32E-05,175.7427459,1.52E-05,266.831104,-28.38526716,0,10.12937569,2,,8007
744,744,6.07E-10,2.01E-09,0.01198852,0.003646154,260,2.33E-05,5.98E-06,5.49E-05,1.41E-05,157.1226625,1.18E-05,266.8287477,-28.38522238,0,7.120320563,2,Contour,8034
748,748,8.01E-10,2.73E-09,0.019641765,0.006110598,354,1.83E-05,1.00E-05,4.32E-05,2.36E-05,90.56595009,1.36E-05,266.8328813,-28.38518981,0,13.20087418,2,Contour,8020
752,752,5.48E-10,1.59E-09,0.007505251,0.001677561,206,1.78E-05,7.06E-06,4.20E-05,1.66E-05,149.4614811,1.12E-05,266.8292188,-28.38516652,0,4.128466184,2,Two sources?,8061
754,754,6.10E-10,2.12E-09,0.014665365,0.003222349,275,1.58E-05,8.90E-06,3.71E-05,2.09E-05,170.0330857,1.18E-05,266.8289836,-28.38515315,0,5.834408263,2,,8076
773,773,6.31E-10,1.89E-09,0.017602677,0.004502126,245,1.31E-05,1.11E-05,3.08E-05,2.61E-05,-137.6846236,1.20E-05,266.8335099,-28.38502963,0,11.2517467,2,Two sources?,1
839,839,2.28E-10,7.64E-10,0.004344802,0.002531937,99,8.09E-06,6.46E-06,1.91E-05,1.52E-05,-164.7438555,7.23E-06,266.8292805,-28.38467408,0,10.85285782,2,,8332
868,868,3.29E-09,1.07E-08,0.072625015,0.005943832,1392,3.12E-05,2.42E-05,7.35E-05,5.69E-05,162.6349617,2.75E-05,266.8295079,-28.38453158,0,14.52437131,2,Contour,8321
884,884,4.01E-10,1.30E-09,0.00726702,0.003139285,169,1.22E-05,7.52E-06,2.88E-05,1.77E-05,170.612642,9.60E-06,266.8292007,-28.38446696,0,8.865061134,2,,8419
886,886,1.35E-09,5.42E-09,0.061361664,0.011086572,703,2.68E-05,1.16E-05,6.30E-05,2.73E-05,-171.3502426,1.76E-05,266.8280997,-28.38442859,0,16.75499092,2,Contour,8414
888,888,1.51E-09,5.06E-09,0.034657579,0.003887928,656,2.22E-05,1.56E-05,5.23E-05,3.68E-05,-152.4430182,1.86E-05,266.8311771,-28.38441116,0,13.96234856,2,,8426
890,890,4.61E-10,1.65E-09,0.012030677,0.003846111,214,1.36E-05,7.82E-06,3.19E-05,1.84E-05,-160.9121178,1.03E-05,266.8323786,-28.38442534,0,18.77447153,2,,8411
901,901,2.10E-10,7.10E-10,0.004180489,0.002799864,92,8.35E-06,5.77E-06,1.97E-05,1.36E-05,-169.2272303,6.94E-06,266.8283708,-28.38437501,0,7.965871067,2,,8455
903,903,6.85E-10,2.42E-09,0.017135257,0.003997638,314,1.99E-05,7.90E-06,4.69E-05,1.86E-05,175.1603619,1.25E-05,266.8280056,-28.38436586,0,6.627249959,2,,8456
907,907,6.02E-10,1.65E-09,0.007624789,0.001816761,214,2.31E-05,5.99E-06,5.44E-05,1.41E-05,142.3633713,1.18E-05,266.8281541,-28.38434135,0,4.681140711,0,,
917,917,1.44E-09,4.39E-09,0.020655748,0.001765822,569,2.64E-05,1.26E-05,6.21E-05,2.96E-05,-147.7729248,1.82E-05,266.8287352,-28.38423324,0,10.22000384,2,,8527
919,919,1.36E-09,3.88E-09,0.047479162,0.006043633,503,2.65E-05,1.18E-05,6.23E-05,2.78E-05,102.484671,1.77E-05,266.8314998,-28.38421061,0,9.929749189,2,Contour,8515
920,920,3.91E-10,1.48E-09,0.014696024,0.005926884,192,1.25E-05,7.20E-06,2.93E-05,1.70E-05,179.0527354,9.47E-06,266.8314088,-28.38425379,0,18.83419928,2,,8516
921,921,5.60E-10,1.94E-09,0.014217885,0.00502296,251,1.30E-05,9.92E-06,3.05E-05,2.34E-05,-174.3052264,1.13E-05,266.8308314,-28.38424146,0,13.32985308,2,,8526
923,923,3.54E-10,1.60E-09,0.029808248,0.014228236,207,1.05E-05,7.71E-06,2.48E-05,1.82E-05,-171.1690011,9.02E-06,266.8330053,-28.38422983,0,9.354349475,0,HII region,
930,930,4.15E-10,1.34E-09,0.009156248,0.002896925,174,1.03E-05,9.22E-06,2.43E-05,2.17E-05,-144.9212254,9.76E-06,266.8307382,-28.38420011,0,7.090898253,1,,8562
937,937,4.82E-10,1.27E-09,0.013091639,0.0035943,164,1.59E-05,6.98E-06,3.73E-05,1.64E-05,137.7249393,1.05E-05,266.8314874,-28.38414416,0,6.070917515,0,,
938,938,1.47E-10,4.48E-10,0.002405665,0.001953204,58,6.58E-06,5.12E-06,1.55E-05,1.21E-05,52.21361226,5.80E-06,266.8307284,-28.38416058,0,4.394366135,1,Not sure,
942,942,6.12E-10,2.35E-09,0.017961516,0.005603706,305,1.47E-05,9.56E-06,3.46E-05,2.25E-05,164.7295294,1.19E-05,266.8300634,-28.38412807,0,20.59520579,2,,8603
957,957,1.47E-09,5.26E-09,0.038268552,0.006258347,682,2.78E-05,1.21E-05,6.54E-05,2.86E-05,173.555228,1.84E-05,266.8315023,-28.38405,0,22.1377103,2,Contour,8629
1007,1007,1.19E-09,3.46E-09,0.017449799,0.002743985,448,2.26E-05,1.21E-05,5.32E-05,2.85E-05,149.3966734,1.65E-05,266.8284451,-28.38382986,0,9.721963781,2,Contour,8762
1039,1039,3.58E-10,1.10E-09,0.005722736,0.002213944,143,1.38E-05,5.94E-06,3.26E-05,1.40E-05,165.062533,9.06E-06,266.8285051,-28.38350302,0,6.233364214,2,Contour,8858
1050,1050,6.82E-11,2.24E-10,0.001126243,0.001935198,29,4.79E-06,3.27E-06,1.13E-05,7.70E-06,179.004908,3.96E-06,266.8283168,-28.38306358,0,3.642431832,2,,8998
1064,1064,3.54E-10,1.21E-09,0.007224716,0.003324779,157,1.01E-05,8.04E-06,2.38E-05,1.89E-05,163.4344509,9.01E-06,266.8278781,-28.38278807,0,8.866639303,2,,9133
1081,1081,5.99E-10,2.14E-09,0.015097389,0.003622766,277,1.35E-05,1.02E-05,3.18E-05,2.40E-05,-162.8709132,1.17E-05,266.8279235,-28.38255201,0,10.55539809,2,,9235
1090,1090,1.91E-10,6.17E-10,0.003638555,0.00247364,80,7.35E-06,5.98E-06,1.73E-05,1.41E-05,-165.5556707,6.63E-06,266.827996,-28.3824072,0,5.2155258,2,,9263
1093,1093,5.94E-11,1.85E-10,0.000826464,0.001532636,24,4.26E-06,3.20E-06,1.00E-05,7.54E-06,162.0589008,3.69E-06,266.8281761,-28.38238629,0,2.33315606,2,,9290
1094,1094,2.32E-10,6.71E-10,0.003096547,0.001647352,87,8.65E-06,6.14E-06,2.04E-05,1.45E-05,-175.7712909,7.29E-06,266.828227,-28.38236603,0,2.548196742,0,,
1096,1096,8.27E-10,3.18E-09,0.03351357,0.007378392,412,1.87E-05,1.01E-05,4.41E-05,2.38E-05,169.1988168,1.38E-05,266.8279789,-28.38233869,0,10.05137256,2,,9313
1105,1105,2.52E-10,8.64E-10,0.005777904,0.003294321,112,8.61E-06,6.73E-06,2.03E-05,1.58E-05,-172.0879363,7.61E-06,266.8281896,-28.38229151,0,6.669782314,2,,9333
1108,1108,4.73E-09,1.17E-08,0.058940893,0.002305084,1511,7.10E-05,1.53E-05,0.000167117,3.60E-05,-141.4110503,3.29E-05,266.8282125,-28.38221043,0,1.953035652,0,,
1130,1130,1.06E-10,3.63E-10,0.002118736,0.002610121,47,6.12E-06,3.96E-06,1.44E-05,9.33E-06,179.1099856,4.93E-06,266.8280389,-28.38215407,0,5.561481729,2,,9391
1143,1143,2.64E-10,7.56E-10,0.003360146,0.001537815,98,1.09E-05,5.54E-06,2.58E-05,1.30E-05,57.00451143,7.79E-06,266.8280682,-28.3820783,0,2.846344446,0,,
1169,1169,1.59E-10,4.86E-10,0.002552018,0.002085834,63,9.04E-06,4.04E-06,2.13E-05,9.52E-06,-174.2232553,6.05E-06,266.8282242,-28.3818157,0,4.818252462,2,,9525
1,1,2.64E-10,1.05E-09,0.093923904,0.059173353,136,9.73E-06,6.22E-06,2.29E-05,1.47E-05,175.7584089,7.78E-06,266.8341388,-28.38518862,0,53.51497231,2,,1044
2,2,6.45E-10,2.02E-09,0.098989995,0.019501712,262,1.27E-05,1.16E-05,2.99E-05,2.74E-05,107.1579527,1.22E-05,266.8338124,-28.38511279,0,6.454063992,2,,1060
3,3,5.82E-10,2.30E-09,0.220657143,0.080874465,298,1.23E-05,1.09E-05,2.89E-05,2.56E-05,-173.2735928,1.16E-05,266.8340781,-28.38499682,0,44.12056611,1,HII region?,1064
4,4,1.14E-09,3.07E-09,0.130442663,0.015029538,398,2.48E-05,1.05E-05,5.83E-05,2.48E-05,60.17398112,1.62E-05,266.8339591,-28.38490349,0,6.661157139,1,Bad contour,1092
9,9,3.85E-10,1.10E-09,0.076561817,0.023495095,142,1.20E-05,7.35E-06,2.83E-05,1.73E-05,168.3593654,9.41E-06,266.8339673,-28.38474572,0,5.74596506,1,Reexamine,1122
15,15,2.04E-10,5.56E-10,0.079908041,0.043522503,72,1.71E-05,2.75E-06,4.02E-05,6.47E-06,-174.4113261,6.85E-06,266.8340538,-28.38472692,0,2.885284974,0,,
17,17,1.72E-10,5.32E-10,0.047853134,0.031277671,69,7.98E-06,4.95E-06,1.88E-05,1.17E-05,157.559085,6.29E-06,266.8340896,-28.38469809,0,3.867390508,1,Not sure,
18,18,2.28E-10,5.94E-10,0.159200745,0.087706372,77,1.12E-05,4.69E-06,2.63E-05,1.11E-05,76.96232822,7.24E-06,266.8340058,-28.38468103,0,6.561465747,1,Multiple sources,
19,19,1.81E-10,5.40E-10,0.059746132,0.034940705,70,6.92E-06,6.01E-06,1.63E-05,1.41E-05,146.7956293,6.45E-06,266.8340788,-28.3846575,0,2.384816621,1,Not sure,
20,20,2.60E-10,8.02E-10,0.248236485,0.109845109,104,1.09E-05,5.45E-06,2.58E-05,1.28E-05,165.2758655,7.72E-06,266.83401,-28.38463998,0,8.741537646,1,Elongated,
21,21,9.28E-10,1.54E-09,0.195319513,0.041100692,199,2.01E-05,1.06E-05,4.73E-05,2.50E-05,-148.5391934,1.46E-05,266.834069,-28.38461224,0,2.97491706,0,,
22,22,2.03E-10,7.95E-10,0.155009415,0.118838541,103,9.73E-06,4.78E-06,2.29E-05,1.13E-05,174.5321346,6.82E-06,266.833987,-28.38460606,0,4.591103317,2,,1145
25,25,2.15E-10,7.18E-10,0.078648893,0.048501484,93,8.65E-06,5.70E-06,2.04E-05,1.34E-05,-153.2517667,7.03E-06,266.8342149,-28.38456459,0,9.770412613,2,,1152
26,26,2.66E-10,1.06E-09,0.094760268,0.061223313,137,1.15E-05,5.32E-06,2.70E-05,1.25E-05,168.7893734,7.82E-06,266.8337655,-28.38455435,0,21.35790691,2,,1159
27,27,1.16E-10,3.55E-10,0.032129349,0.032979604,46,7.43E-06,3.60E-06,1.75E-05,8.48E-06,-170.5734065,5.17E-06,266.8341891,-28.38453912,0,7.322922445,2,,1152
28,28,1.91E-10,5.40E-10,0.052780649,0.030873297,70,1.16E-05,3.79E-06,2.73E-05,8.93E-06,172.4352611,6.63E-06,266.8338459,-28.38451668,0,6.324422011,0,,
29,29,1.07E-09,3.89E-09,0.737052423,0.145853192,504,1.99E-05,1.24E-05,4.69E-05,2.91E-05,148.7712118,1.57E-05,266.833911,-28.38446986,0,14.4741958,2,Resolved?,1171
30,30,5.17E-10,1.63E-09,0.12813811,0.034386642,211,1.25E-05,9.50E-06,2.94E-05,2.24E-05,162.2176612,1.09E-05,266.8338174,-28.38446881,0,8.858742,2,,1176
31,31,1.75E-09,5.02E-09,0.383563987,0.047126558,651,2.09E-05,1.93E-05,4.91E-05,4.53E-05,96.91347853,2.00E-05,266.8337685,-28.38437216,0,14.40165297,2,HII region?,1188
32,32,1.79E-10,5.71E-10,0.027280232,0.017986307,74,1.06E-05,3.86E-06,2.51E-05,9.08E-06,-177.8247786,6.41E-06,266.8340152,-28.38434824,0,9.441183135,0,,
33,33,7.72E-10,2.45E-09,0.186162929,0.046509299,318,1.72E-05,1.03E-05,4.06E-05,2.42E-05,129.6158884,1.33E-05,266.8345418,-28.38420504,0,16.25897197,2,,1216
34,34,6.33E-10,1.86E-09,0.08547248,0.017580189,241,1.68E-05,8.64E-06,3.96E-05,2.03E-05,54.16789406,1.21E-05,266.8337943,-28.38418173,0,8.911247921,2,Bad contour,1228
37,37,5.84E-11,1.93E-10,0.001053559,0.002037304,25,4.99E-06,2.68E-06,1.18E-05,6.32E-06,-169.0703731,3.66E-06,266.8322333,-28.37789497,0,2.775817568,2,,8970
47,47,4.70E-10,1.80E-09,0.018283286,0.006588524,233,1.11E-05,9.70E-06,2.62E-05,2.28E-05,134.3447142,1.04E-05,266.8326674,-28.37779022,0,3.411612952,2,,9024
48,48,2.41E-10,1.01E-09,0.01347157,0.008635148,131,9.29E-06,5.95E-06,2.19E-05,1.40E-05,-178.8721512,7.43E-06,266.8323779,-28.37779101,0,13.77689538,2,,9016
317,317,9.50E-10,3.16E-09,0.021608013,0.005000146,409,2.44E-05,8.93E-06,5.75E-05,2.10E-05,164.1724368,1.48E-05,266.8314545,-28.37642077,0,6.130884954,2,Contour,9448
427,427,2.09E-10,6.10E-10,0.005663189,0.003055078,79,9.70E-06,4.94E-06,2.28E-05,1.16E-05,172.9100363,6.92E-06,266.8313223,-28.37570531,0,4.645497238,2,Reexamine,9620
430,430,1.47E-10,4.32E-10,0.009692503,0.007346095,56,8.65E-06,3.90E-06,2.04E-05,9.19E-06,164.9737212,5.81E-06,266.8313995,-28.37568107,0,4.650340885,2,,1
431,431,1.15E-10,3.40E-10,0.007293239,0.006487588,44,5.30E-06,5.00E-06,1.25E-05,1.18E-05,84.78384466,5.14E-06,266.8314164,-28.37565545,0,2.931175747,2,,9625
661,661,4.73E-10,1.50E-09,0.008432084,0.002181651,194,1.27E-05,8.57E-06,2.98E-05,2.02E-05,152.3796619,1.04E-05,266.8319052,-28.37348678,0,4.470871191,2,,10316
664,664,7.25E-09,1.90E-08,0.154242381,0.009784245,2460,8.05E-05,2.07E-05,0.000189604,4.87E-05,152.3649464,4.08E-05,266.8318792,-28.37341275,0,25.63998579,3,Bad contour,10331
669,669,5.16E-10,1.61E-09,0.007331057,0.001746355,209,1.28E-05,9.26E-06,3.01E-05,2.18E-05,138.9527901,1.09E-05,266.8320816,-28.37338008,0,5.376685547,1,Not sure,
687,687,3.50E-10,1.00E-09,0.005521129,0.001887155,130,1.72E-05,4.68E-06,4.05E-05,1.10E-05,152.9154034,8.97E-06,266.8320431,-28.37327485,0,2.104028955,0,,
691,691,1.61E-10,5.02E-10,0.003090184,0.002548612,65,1.04E-05,3.55E-06,2.45E-05,8.35E-06,171.68702,6.07E-06,266.8321033,-28.37324922,0,3.283611206,1,Not sure,
724,724,4.24E-10,1.67E-09,0.013356191,0.004982465,216,1.71E-05,5.71E-06,4.02E-05,1.35E-05,172.5624813,9.87E-06,266.8336582,-28.37305927,0,10.57420515,2,Disk?,10522
1040,1040,6.98E-10,2.35E-09,0.013621366,0.003214499,305,1.47E-05,1.09E-05,3.47E-05,2.56E-05,168.2692794,1.27E-05,266.8303784,-28.37176813,0,11.44256042,2,,10967
1101,1101,4.59E-11,1.39E-10,0.001870676,0.004111531,18,3.91E-06,2.69E-06,9.21E-06,6.34E-06,168.7058019,3.25E-06,266.8323079,-28.37156503,0,3.086511167,2,one source in B3,14024
1104,1104,1.38E-10,4.17E-10,0.006246668,0.005003772,54,1.06E-05,2.98E-06,2.50E-05,7.02E-06,-177.5397164,5.62E-06,266.8322879,-28.37155065,0,2.712964543,2,one source in B3,14024
1108,1108,3.64E-10,1.13E-09,0.015869281,0.006082758,146,1.06E-05,7.92E-06,2.48E-05,1.86E-05,131.3168506,9.14E-06,266.8322645,-28.37151636,0,3.395395037,2,,14026
1170,1170,9.83E-10,2.15E-09,0.02268296,0.004339979,279,1.57E-05,1.44E-05,3.70E-05,3.38E-05,113.852297,1.50E-05,266.8321163,-28.37129046,0,4.309502339,2,Multiple sources,14146
1176,1176,4.53E-10,1.45E-09,0.016752769,0.005109394,188,1.33E-05,7.85E-06,3.12E-05,1.85E-05,-175.757037,1.02E-05,266.8322157,-28.37127719,0,5.162104766,2,,14169
1268,1268,7.60E-10,3.27E-09,0.041857305,0.010866797,424,1.98E-05,8.83E-06,4.65E-05,2.08E-05,178.2574384,1.32E-05,266.8322703,-28.37096428,0,10.02949405,2,,14348
1269,1269,5.03E-10,1.60E-09,0.011459329,0.002818238,208,1.32E-05,8.75E-06,3.11E-05,2.06E-05,111.0033798,1.07E-05,266.8311113,-28.37096028,0,4.544346811,1,,11291
1276,1276,4.16E-10,1.40E-09,0.008720046,0.002850985,182,1.49E-05,6.43E-06,3.50E-05,1.51E-05,172.5645832,9.78E-06,266.8298689,-28.37093944,0,5.562666883,2,,11295
1277,1277,9.58E-10,3.12E-09,0.022268734,0.006087204,404,2.59E-05,8.51E-06,6.09E-05,2.00E-05,138.0373746,1.48E-05,266.8297323,-28.37090145,0,13.81715243,2,Bad contour,11296
1281,1281,5.12E-10,1.54E-09,0.011084533,0.002856915,200,1.72E-05,6.84E-06,4.05E-05,1.61E-05,140.5818841,1.08E-05,266.8311515,-28.37089939,0,5.734050355,1,Fillament?,11314
1287,1287,2.24E-10,7.41E-10,0.005188053,0.003226288,96,1.07E-05,4.80E-06,2.52E-05,1.13E-05,161.5977981,7.17E-06,266.8319697,-28.37090604,0,4.898822304,1,Fillament?,11306
1292,1292,3.78E-09,1.57E-08,0.215183672,0.017563274,2039,3.19E-05,2.72E-05,7.50E-05,6.41E-05,118.431981,2.94E-05,266.8302261,-28.37082297,0,23.20940404,2,HII region?,11324
1295,1295,3.72E-10,1.07E-09,0.006899665,0.004023165,139,1.54E-05,5.56E-06,3.62E-05,1.31E-05,67.8175601,9.25E-06,266.8321161,-28.37086106,0,5.1523701,2,Two sources?,11327
1300,1300,1.67E-10,5.17E-10,0.002651719,0.001897176,67,1.32E-05,2.92E-06,3.10E-05,6.87E-06,168.9139536,6.20E-06,266.8318202,-28.37084841,0,3.914747717,0,,
1304,1304,8.08E-10,2.75E-09,0.022884023,0.006136464,357,1.95E-05,9.52E-06,4.59E-05,2.24E-05,156.8746892,1.36E-05,266.8320297,-28.37080664,0,5.782406327,2,Contour,11355
1309,1309,1.39E-09,4.52E-09,0.032205404,0.003275387,586,5.00E-05,6.37E-06,0.000117731,1.50E-05,170.1563306,1.78E-05,266.831091,-28.3707924,0,5.135675924,0,Fillament,
1312,1312,1.81E-10,5.25E-10,0.002539277,0.001741073,68,6.70E-06,6.20E-06,1.58E-05,1.46E-05,110.0003248,6.45E-06,266.8319465,-28.37078992,0,1.932633738,0,,
1313,1313,2.72E-10,1.06E-09,0.009154871,0.005284644,138,9.48E-06,6.60E-06,2.23E-05,1.55E-05,172.6257842,7.91E-06,266.8292542,-28.37078686,0,15.46909658,2,,11356
1314,1314,9.95E-11,3.32E-10,0.001868211,0.002358706,43,8.36E-06,2.73E-06,1.97E-05,6.44E-06,-179.7730899,4.78E-06,266.8318103,-28.37078633,0,3.084093092,2,,11373
1317,1317,1.72E-10,5.63E-10,0.003200674,0.002495497,73,1.01E-05,3.89E-06,2.39E-05,9.15E-06,178.9822539,6.28E-06,266.8319991,-28.37076808,0,2.681835573,0,Not sure,
1319,1319,3.08E-10,1.15E-09,0.009335635,0.004456343,149,8.67E-06,8.17E-06,2.04E-05,1.92E-05,-161.3762695,8.41E-06,266.8308704,-28.37074342,0,14.45332601,2,Great,11389
1321,1321,6.98E-10,2.15E-09,0.013667185,0.002602816,278,1.82E-05,8.80E-06,4.29E-05,2.07E-05,167.3233047,1.27E-05,266.8311844,-28.37072489,0,5.932256854,2,,11415
1322,1322,7.78E-10,2.55E-09,0.017256311,0.003863011,331,1.75E-05,1.02E-05,4.12E-05,2.40E-05,-160.4407645,1.34E-05,266.8291947,-28.37071643,0,7.807603471,1,,11406
1324,1324,1.42E-10,4.48E-10,0.002126274,0.001697232,58,8.71E-06,3.75E-06,2.05E-05,8.83E-06,179.4525774,5.72E-06,266.8316792,-28.37073036,0,1.941335009,2,Dim,11404
1325,1325,1.55E-09,5.52E-09,0.048336817,0.009114448,715,2.87E-05,1.24E-05,6.77E-05,2.92E-05,-152.196559,1.89E-05,266.8312647,-28.37068883,0,12.68094344,2,Contour,11418
