Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB3_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  3  I3         ---    ID             [1/397]? Source ID
  5-  9  F5.2       mJy    $S_{\nu,flux}$ [0.04/58.03]? Dendrogram contour flux
 11- 15  F5.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/41.29]? Brightest pixel flux
 17- 21  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07]? Noise
 23- 27  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29]? Source FWHM (maj)
 29- 33  F5.3       arcsec FWHM$_{min}$   [0.01/0.25]? Source FWHM (min)
 35- 66  A32        ---    RA (ICRS)      RA coordinate (ICRS)
 68- 99  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    101  I1         ---    Score          2=core, 1=likely core
103-110  A8         ---    Source         Type of source
112-120  A9         ---    G18            Source ID match from G18 catalog
122-123  I2         ---    ID$_{Band 6}$  Source ID match from Band 6
125-127  I3         K      $T_B$          [3/834]? Brightness temperature
129-133  F5.2       ---    $\alpha$       [-1.05/4.5]? Spectral index
135-138  F4.2       ---    $\alpha_{err}$ [0.02/0.4]? Spectral index error
140-144  F5.1      solMass Mass           [1.1/163.0]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
  1  0.71  0.43 0.032 0.115 0.071 17:47:19.884                     -28:22:20.316                    2 core                     8  2.40 0.20  11.9
 22  2.96  1.83 0.032 0.105 0.067 17:47:19.8408                    -28:22:18.012                    2 core               59   36  2.28 0.06  44.8
 26  0.50  1.33 0.032 0.042 0.033 17:47:19.8456                    -28:22:17.904                    2 core               68   26  2.00 0.10   7.7
 27  4.61  1.54 0.032 0.271 0.063 17:47:19.9416                    -28:22:17.724                    1 core               77   31  2.14 0.08  70.1
 29  0.86  0.77 0.032 0.091 0.053 17:47:19.9056                    -28:22:17.76                     1 core               74   15  2.50 0.10  13.6
 30  7.75  5.13 0.032 0.093 0.068 17:47:19.8744                    -28:22:17.688                    1 HII_new            75  103  1.39 0.05      
 31  1.27  3.00 0.032 0.062 0.025 17:47:19.98                      -28:22:17.58                     1 core               81   60  2.03 0.05  19.0
 32  7.58  4.69 0.032 0.105 0.071 17:47:19.9872                    -28:22:17.436                    1 core               87   94  1.87 0.03 113.3
 33  0.89  1.54 0.032 0.060 0.036 17:47:19.8744                    -28:22:17.472                    2 core               85   31  2.50 0.06  13.5
 34  2.72  1.22 0.032 0.141 0.093 17:47:19.8408                    -28:22:17.436                    2 core               129  24  2.73 0.07  41.7
 35  3.89  1.93 0.032 0.136 0.088 17:47:19.9392                    -28:22:17.328                    2 core               88   39  1.84 0.09  58.9
 36 51.96 19.36 0.032 0.162 0.079 17:47:19.8984                    -28:22:17.328                    0 HII      171_K3        391 -0.72 0.08      
 37  0.07  0.18 0.032 0.046 0.031 17:47:19.8744                    -28:22:22.152                    2 core               186   3  3.20 0.30   1.7
 39  0.09  0.19 0.032 0.054 0.037 17:47:19.92                      -28:22:21.432                    2 core               148   3  3.40 0.30   2.2
 40  0.56  0.28 0.032 0.115 0.078 17:47:20.0136                    -28:22:21.252                    1 core                     5  2.70 0.30  10.5
 63  0.10  0.17 0.032 0.067 0.033 17:47:19.7568                    -28:22:19.848                    1 core               158   3  3.90 0.30   2.5
 65  0.81  0.31 0.032 0.135 0.095 17:47:19.7904                    -28:22:19.056                    1 core               117   6  2.90 0.20  14.6
 71  2.73  1.31 0.032 0.110 0.108 17:47:19.7832                    -28:22:18.12                     2 core               126  26  2.61 0.07  41.8
 72  0.19  0.24 0.032 0.056 0.055 17:47:19.7208                    -28:22:17.976                    1 core                     4  2.80 0.30   3.9
 73  0.09  0.20 0.032 0.061 0.028 17:47:19.7136                    -28:22:17.868                    1 core                     4  3.00 0.30   2.0
 75  0.33  0.75 0.032 0.054 0.031 17:47:19.752                     -28:22:17.58                     2 core               161  15  2.40 0.10   5.2
 76  1.77  1.21 0.032 0.105 0.064 17:47:19.7448                    -28:22:17.508                    2 core               163  24  2.00 0.10  27.2
 77  0.55  0.29 0.032 0.100 0.090 17:47:19.6992                    -28:22:17.4                      1 core               190   5  2.70 0.30  10.1
 78  0.15  0.25 0.032 0.080 0.028 17:47:20.0256                    -28:22:17.184                    1 core               135   4  3.00 0.30   2.9
 80  0.63  0.54 0.032 0.111 0.048 17:47:19.7352                    -28:22:16.968                    1 core               193  10  3.00 0.10  10.3
 82  3.87  1.34 0.032 0.197 0.111 17:47:19.7088                    -28:22:16.644                    2 core               196  26  1.70 0.10  59.2
 84  2.21  0.70 0.032 0.174 0.095 17:47:19.728                     -28:22:16.608                    2 core               198  14  2.40 0.10  35.1
 85  0.23  0.24 0.032 0.074 0.056 17:47:19.7544                    -28:22:16.536                    1 core                     4  2.70 0.40   4.6
 86  0.08  0.28 0.032 0.047 0.022 17:47:19.7664                    -28:22:16.536                    1 core               169   5  3.20 0.20   1.6
 88  1.36  1.36 0.032 0.083 0.053 17:47:19.8216                    -28:22:16.464                    2 core               170  27  2.00 0.10  20.7
 89  2.36  1.41 0.032 0.116 0.062 17:47:19.7952                    -28:22:16.464                    2 core               172  28  1.80 0.10  36.0
 91  9.64  2.64 0.032 0.189 0.104 17:47:19.8072                    -28:22:16.284                    1 core               174  53  2.18 0.05 145.0
 93  4.31  1.25 0.032 0.169 0.131 17:47:19.9896                    -28:22:16.248                    2 core               177  25  1.90 0.10  66.1
 97  0.66  0.54 0.032 0.082 0.060 17:47:19.7232                    -28:22:16.212                    1 core                    10  2.20 0.20  10.8
100  8.72  2.52 0.032 0.158 0.126 17:47:19.752                     -28:22:16.068                    2 core               202  50  1.46 0.09 131.3
101  0.57  0.33 0.032 0.117 0.078 17:47:19.8336                    -28:22:16.068                    1 core                     6  3.30 0.20  10.2
104  1.39  0.40 0.032 0.222 0.089 17:47:19.8024                    -28:22:15.744                    1 core                     8  3.10 0.20  23.7
107 10.89  3.77 0.032 0.179 0.119 17:47:19.908                     -28:22:15.564                    2 core     109            76  2.01 0.04 163.0
111  1.29  0.60 0.032 0.133 0.079 17:47:19.8624                    -28:22:15.168                    1 core               213  12  2.90 0.10  20.7
112  0.91  0.60 0.032 0.114 0.073 17:47:20.076                     -28:22:23.016                    2 core               227  12  2.70 0.10  14.7
113  2.51  1.01 0.032 0.182 0.074 17:47:19.8768                    -28:22:22.44                     1 core     114       216  20  2.57 0.09  38.8
114  0.12  0.35 0.032 0.055 0.021 17:47:19.8888                    -28:22:22.296                    1 core     114       184   7  3.00 0.20   2.1
115  0.21  0.17 0.032 0.079 0.062 17:47:19.548                     -28:22:17.688                    2 core                     3  3.20 0.30   5.6
120  0.67  0.27 0.032 0.169 0.070 17:47:19.6584                    -28:22:16.536                    1 core                     5  3.00 0.20  12.6
125  0.79  0.68 0.032 0.081 0.076 17:47:19.6776                    -28:22:15.78                     2 core               218  13  1.60 0.30  12.5
126  9.92  3.29 0.032 0.225 0.151 17:47:19.7448                    -28:22:15.492                    2 core               219  66  1.58 0.06 148.7
129  2.59  0.78 0.032 0.216 0.119 17:47:19.6728                    -28:22:15.276                    2 core               228  15  2.20 0.20  40.8
130  1.74  1.02 0.032 0.138 0.085 17:47:19.7088                    -28:22:15.132                    2 core               229  20  1.70 0.20  27.0
136  1.66  0.48 0.032 0.256 0.075 17:47:19.6344                    -28:22:15.06                     1 core               252   9  1.90 0.30  27.5
139  1.89  1.24 0.032 0.102 0.077 17:47:19.6896                    -28:22:14.916                    2 core     110       231  24  2.10 0.10  28.9
140  1.12  0.72 0.032 0.143 0.061 17:47:19.6704                    -28:22:14.88                     1 core     110       232  14  1.70 0.30  17.7
141  0.75  0.69 0.032 0.085 0.067 17:47:19.6344                    -28:22:14.844                    2 core               253  13  1.60 0.30  11.9
145  0.20  0.37 0.032 0.060 0.034 17:47:19.6776                    -28:22:14.772                    1 core               233   7  2.40 0.30   3.5
151  1.30  1.18 0.032 0.082 0.060 17:47:19.9392                    -28:22:14.448                    2 core               222  23  1.70 0.20  20.0
152  0.08  0.35 0.032 0.034 0.021 17:47:19.704                     -28:22:14.412                    1 core                     7  2.40 0.30   1.4
154  0.21  0.37 0.032 0.064 0.033 17:47:19.6968                    -28:22:14.34                     1 core               255   7  2.70 0.20   3.6
155  0.33  0.37 0.032 0.073 0.057 17:47:19.6824                    -28:22:14.268                    2 core               256   7  2.40 0.30   5.8
157  0.88  0.82 0.032 0.079 0.058 17:47:19.9608                    -28:22:14.196                    1 core               226  16  1.90 0.20  13.8
159  7.14  2.10 0.032 0.222 0.104 17:47:19.9584                    -28:22:13.98                     2 core               234  42  2.03 0.07 107.8
162  2.62  0.85 0.032 0.195 0.125 17:47:20.0136                    -28:22:13.836                    2 core               237  17  1.60 0.20  40.9
165  0.73  0.48 0.032 0.130 0.054 17:47:19.896                     -28:22:13.836                    1 core               238   9  2.80 0.20  12.1
166  0.26  0.45 0.032 0.054 0.041 17:47:19.908                     -28:22:13.728                    1 core               241   9  2.90 0.20   4.3
167 58.03 29.62 0.032 0.130 0.097 17:47:19.8984                    -28:22:13.584                    1 HII_new  170       247 598  0.41 0.02      
176  1.53  1.19 0.032 0.088 0.066 17:47:19.9128                    -28:22:13.44                     1 HII_new            250  24  0.90 0.30      
184  0.46  0.26 0.032 0.113 0.067 17:47:19.6584                    -28:22:24.528                    1 core     113             5  2.60 0.30   8.9
185  3.98  1.76 0.032 0.161 0.101 17:47:19.6416                    -28:22:24.384                    2 core     113       278  35  2.35 0.06  60.4
194  1.17  0.56 0.032 0.113 0.098 17:47:19.6536                    -28:22:22.728                    2 core                    11  1.90 0.30  18.9
195  0.75  0.26 0.032 0.181 0.094 17:47:19.4832                    -28:22:16.716                    1 core                     5  2.70 0.30  14.5
197  0.58  0.43 0.032 0.102 0.054 17:47:19.4688                    -28:22:15.456                    1 core               280   8  2.40 0.20   9.8
200  0.93  0.59 0.032 0.135 0.054 17:47:19.476                     -28:22:15.24                     2 core               281  12  2.30 0.20  14.9
201  1.34  0.61 0.032 0.215 0.043 17:47:19.4568                    -28:22:14.88                     1 core                    12  1.70 0.30  21.4
205  0.72  0.27 0.032 0.119 0.106 17:47:19.5312                    -28:22:14.664                    1 core                     5  2.70 0.30  13.7
206  1.16  0.47 0.032 0.151 0.093 17:47:19.6032                    -28:22:14.664                    2 core               254   9  2.10 0.30  19.3
207  0.50  0.31 0.032 0.103 0.067 17:47:19.4856                    -28:22:14.592                    1 core               284   6  2.80 0.20   9.1
208  3.65  1.15 0.032 0.223 0.125 17:47:19.5072                    -28:22:14.484                    2 core     111       285  23  2.59 0.08  56.2
209  1.16  0.51 0.032 0.155 0.077 17:47:19.5648                    -28:22:14.484                    2 core               273  10  2.30 0.20  19.0
210  0.27  0.20 0.032 0.081 0.068 17:47:19.6488                    -28:22:14.052                    1 core                     4  3.00 0.30   5.9
211 25.13  4.43 0.032 0.232 0.170 17:47:19.8576                    -28:22:13.116                    1 HII_new  252       265  89  1.97 0.03      
213  1.00  0.39 0.032 0.150 0.103 17:47:19.6656                    -28:22:13.152                    1 HII_cand           274   7  2.60 0.20      
221  1.07  1.03 0.032 0.085 0.068 17:47:19.6368                    -28:22:12.432                    2 core               288  20  1.80 0.20  16.6
223  0.44  0.37 0.032 0.083 0.070 17:47:19.2912                    -28:22:18.372                    2 core     251       297   7  2.80 0.20   7.5
224  1.58  0.99 0.032 0.111 0.085 17:47:19.4088                    -28:22:14.7                      2 core               290  20  2.00 0.10  24.4
225  1.12  0.69 0.032 0.103 0.084 17:47:19.4832                    -28:22:13.8                      2 core               291  13  2.40 0.10  17.8
226  0.15  0.17 0.032 0.066 0.053 17:47:19.4376                    -28:22:13.368                    1 core                     3  3.20 0.30   4.0
227  0.87  0.51 0.032 0.133 0.074 17:47:19.452                     -28:22:13.152                    2 core               298  10  2.60 0.20  14.3
228  0.90  0.67 0.032 0.098 0.074 17:47:19.548                     -28:22:12.216                    2 core               292  13  2.40 0.20  14.4
229  2.52  0.97 0.032 0.200 0.085 17:47:19.464                     -28:22:11.928                    2 core               304  19  1.80 0.20  39.2
231  1.57  0.80 0.032 0.127 0.087 17:47:19.6056                    -28:22:11.604                    2 core     112       294  16  2.30 0.10  24.6
232  1.07  1.02 0.032 0.080 0.054 17:47:20.3136                    -28:22:11.316                    1 core               299  20  2.00 0.10  16.5
233  0.94  0.34 0.032 0.196 0.077 17:47:19.8216                    -28:22:11.172                    1 core                     6  2.90 0.20  16.6
234  1.16  0.52 0.032 0.137 0.087 17:47:19.7976                    -28:22:10.956                    1 core                    10  2.00 0.30  19.0
237  1.31  0.64 0.032 0.121 0.108 17:47:19.812                     -28:22:10.56                     2 core               296  12  2.20 0.20  21.0
238  0.89  0.37 0.032 0.170 0.091 17:47:19.6728                    -28:22:10.308                    2 core                     7  2.40 0.30  15.4
240  0.58  0.36 0.032 0.130 0.062 17:47:19.7424                    -28:22:10.164                    1 core                     7  2.40 0.30  10.1
242  1.02  0.35 0.032 0.172 0.085 17:47:19.6968                    -28:22:10.092                    1 core                     7  2.40 0.30  17.9
243  1.48  0.67 0.032 0.127 0.097 17:47:19.7232                    -28:22:10.056                    2 core               305  13  2.10 0.20  23.5
246  1.23  1.02 0.032 0.089 0.076 17:47:19.9248                    -28:22:09.876                    2 core               300  20  2.10 0.10  19.1
249  1.41  0.66 0.032 0.138 0.089 17:47:19.1664                    -28:22:15.384                    2 core               310  13  2.30 0.20  22.4
251  9.69  1.86 0.032 0.287 0.241 17:47:19.2528                    -28:22:14.988                    2 core     108       302  37  2.80 0.04 146.7
252  0.32  0.24 0.032 0.095 0.065 17:47:19.1784                    -28:22:15.132                    1 core                     4  2.90 0.30   6.5
253  0.33  0.28 0.032 0.081 0.065 17:47:19.2816                    -28:22:14.268                    2 core               303   5  2.80 0.30   6.1
254  0.08  0.17 0.032 0.055 0.031 17:47:19.2336                    -28:22:14.304                    1 core                     3  3.30 0.30   2.1
255  0.34  0.31 0.032 0.080 0.066 17:47:19.3152                    -28:22:12.72                     2 core               307   6  3.00 0.20   6.2
258  0.08  0.17 0.032 0.049 0.037 17:47:19.6176                    -28:22:10.056                    1 core                     3  3.20 0.40   2.2
260  0.23  0.27 0.032 0.064 0.059 17:47:19.7232                    -28:22:08.94                     1 core                     5  2.80 0.30   4.4
262  1.19  0.82 0.032 0.093 0.084 17:47:19.9128                    -28:22:08.364                    2 core               308  16  2.30 0.20  18.7
263  1.28  1.17 0.032 0.091 0.067 17:47:19.896                     -28:22:08.328                    2 core               309  23  2.20 0.10  19.6
270  1.88  1.52 0.032 0.109 0.061 17:47:19.1376                    -28:22:15.204                    2 core               311  30  2.00 0.10  28.7
272  1.16  0.73 0.032 0.151 0.076 17:47:19.02                      -28:22:14.88                     2 core               316  14  2.40 0.20  18.3
273  0.46  0.36 0.032 0.116 0.053 17:47:19.0608                    -28:22:13.476                    2 core               317   7  2.50 0.30   8.0
275  4.32  1.70 0.032 0.148 0.119 17:47:19.224                     -28:22:11.928                    2 core     107       312  34  2.34 0.07  65.5
276  1.22  0.68 0.032 0.125 0.077 17:47:19.1856                    -28:22:11.892                    2 core               313  13  1.80 0.30  19.3
277  0.12  0.23 0.032 0.049 0.039 17:47:19.2072                    -28:22:11.928                    1 core     107             4  3.00 0.30   2.4
278  1.38  0.95 0.032 0.101 0.084 17:47:19.2072                    -28:22:11.748                    2 core     107       314  19  2.30 0.10  21.4
281  1.81  0.76 0.032 0.176 0.110 17:47:19.0056                    -28:22:14.592                    2 core               320  15  2.30 0.20  28.5
282  0.84  0.36 0.032 0.172 0.086 17:47:18.9528                    -28:22:14.088                    2 core                     7  2.60 0.30  14.6
284  0.76  0.62 0.032 0.093 0.052 17:47:18.9696                    -28:22:13.728                    1 core                    12  2.00 0.30  12.1
288  2.03  1.72 0.032 0.079 0.067 17:47:18.9864                    -28:22:13.296                    2 core     106       322  34  1.90 0.10  30.7
290  2.69  2.11 0.032 0.109 0.063 17:47:20.0904                    -28:22:04.836                    2 core               324  42  2.12 0.08  40.7
291  0.25  0.65 0.032 0.054 0.027 17:47:20.1024                    -28:22:04.764                    2 core               325  13  2.80 0.10   4.1
292  0.57  0.54 0.032 0.082 0.063 17:47:20.112                     -28:22:04.584                    2 core               332  11  2.70 0.20   9.2
295  0.68  0.87 0.032 0.069 0.043 17:47:19.5168                    -28:22:32.556                    1 core     98        333  17  1.90 0.30  10.6
296  0.24  1.23 0.032 0.033 0.019 17:47:19.5336                    -28:22:32.448                    2 core     98        326  24  2.30 0.10   3.7
297  2.32  2.02 0.032 0.084 0.059 17:47:19.5408                    -28:22:32.376                    2 core     98        327  40  1.90 0.10  35.0
298  0.29  0.19 0.032 0.143 0.048 17:47:18.8064                    -28:22:22.728                    1 core                     3  3.50 0.30   6.6
299  2.65  1.77 0.032 0.104 0.091 17:47:19.0032                    -28:22:10.524                    2 core     155       330  35  2.00 0.10  40.2
300  0.76  0.43 0.032 0.105 0.081 17:47:18.9792                    -28:22:10.488                    2 core     155       334   8  3.00 0.20  12.8
301  0.51  0.50 0.032 0.086 0.062 17:47:20.1936                    -28:22:03.864                    2 core               336  10  2.00 0.40   8.4
308  1.30  0.82 0.032 0.103 0.091 17:47:19.5528                    -28:22:35.112                    2 core     231       337  16  2.50 0.20  20.4
309  0.42  0.35 0.032 0.078 0.075 17:47:18.7752                    -28:22:12.072                    2 core                     7  3.00 0.30   7.4
310  0.76  0.34 0.032 0.119 0.095 17:47:18.78                      -28:22:11.748                    1 core                     6  3.00 0.30  13.4
312  0.14  0.25 0.032 0.057 0.042 17:47:20.1984                    -28:22:02.64                     1 core                     5  3.30 0.30   2.8
313  0.39  0.32 0.032 0.097 0.061 17:47:20.1864                    -28:22:02.316                    1 core                     6  3.10 0.30   7.0
315  0.04  0.17 0.032 0.031 0.029 17:47:19.6896                    -28:22:01.38                     2 core                     3  3.80 0.40   1.1
316  0.98  0.31 0.032 0.239 0.078 17:47:19.5432                    -28:22:36.696                    1 core     232             6  3.40 0.30  17.8
317  0.20  0.21 0.032 0.077 0.053 17:47:18.504                     -28:22:12.648                    1 core                     4  4.00 0.30   4.5
318  0.45  0.39 0.032 0.088 0.065 17:47:18.5016                    -28:22:12.108                    2 core                     7  3.30 0.30   7.7
319  0.33  0.61 0.032 0.052 0.042 17:47:18.5184                    -28:22:11.496                    2 core     103       338  12  3.10 0.20   5.4
320  0.35  0.45 0.032 0.070 0.055 17:47:18.6624                    -28:22:10.38                     2 core                     9  3.00 0.30   5.9
321  1.61  1.17 0.032 0.108 0.075 17:47:19.7952                    -28:22:40.296                    2 core                    23  2.60 0.30  24.8
322  2.17  1.41 0.032 0.109 0.091 17:47:19.7712                    -28:22:40.08                     2 core               340  28  2.40 0.20  33.1
323  3.60  1.89 0.032 0.121 0.091 17:47:19.8384                    -28:22:40.08                     2 core     97        339  38  2.00 0.20  54.6
324  1.09  0.74 0.032 0.111 0.056 17:47:19.8552                    -28:22:40.044                    2 core     97             14  2.90 0.30  17.2
325  0.49  0.29 0.032 0.119 0.065 17:47:19.7016                    -28:22:39.18                     1 core                     5  3.80 0.30   9.1
326  0.51  0.30 0.032 0.113 0.071 17:47:19.6632                    -28:22:38.928                    1 core                     6  3.70 0.30   9.4
327  0.26  0.20 0.032 0.097 0.055 17:47:18.3528                    -28:22:18.912                    2 core                     4  4.20 0.30   5.8
328  2.83  1.03 0.032 0.129 0.100 17:47:18.504                     -28:22:11.46                     2 core     103            20  2.20 0.30  43.8
329  1.29  0.38 0.032 0.228 0.074 17:47:18.5112                    -28:22:11.1                      1 core                     7  3.50 0.30  22.4
330  0.33  0.51 0.032 0.068 0.036 17:47:18.4008                    -28:22:10.956                    1 core     104            10  3.30 0.30   5.5
331  1.18  0.70 0.032 0.131 0.078 17:47:18.5328                    -28:22:10.74                     2 core                    14  2.70 0.30  18.7
332  0.07  0.18 0.032 0.050 0.031 17:47:18.4464                    -28:22:10.632                    1 core                     3  4.50 0.30   1.9
333  0.37  0.27 0.033 0.106 0.060 17:47:20.1456                    -28:22:41.736                    1 core                     5              7.1
335 48.87 24.27 0.033 0.135 0.113 17:47:20.0376                    -28:22:41.304                    0 HII      96_Z10.24     490                 
336  0.44  0.29 0.033 0.114 0.061 17:47:20.0952                    -28:22:41.376                    1 core                     5              8.3
337  0.87  0.63 0.033 0.093 0.064 17:47:20.0712                    -28:22:41.268                    2 core                    12             14.0
338  0.17  0.22 0.033 0.076 0.044 17:47:19.728                     -28:22:41.232                    1 core                     4              3.8
339  0.91  0.84 0.033 0.092 0.057 17:47:20.0616                    -28:22:41.196                    2 core                    16             14.4
341  0.16  0.19 0.033 0.079 0.042 17:47:19.6176                    -28:22:41.052                    1 core                     3              4.0
342  1.60  0.95 0.033 0.131 0.080 17:47:20.0496                    -28:22:40.944                    2 core                    19             25.0
343  0.37  0.30 0.033 0.100 0.057 17:47:19.9968                    -28:22:40.764                    1 core                     6  4.10 0.30   6.8
344  0.44  0.48 0.033 0.074 0.060 17:47:19.8576                    -28:22:40.584                    2 core                     9  3.60 0.30   7.2
346  1.12  0.83 0.033 0.092 0.079 17:47:19.7376                    -28:22:40.44                     2 core                    16  3.00 0.30  17.6
347  1.03  0.59 0.033 0.139 0.085 17:47:19.7544                    -28:22:40.296                    2 core                    12  3.30 0.30  16.7
348  0.08  0.20 0.033 0.045 0.034 17:47:18.3072                    -28:22:11.64                     1 core                     4              1.9
349  0.42  0.30 0.033 0.090 0.074 17:47:18.3696                    -28:22:10.776                    1 core                     6  4.10 0.30   7.9
350  0.21  0.30 0.033 0.059 0.052 17:47:18.3912                    -28:22:10.524                    2 core                     6  4.10 0.30   3.9
351  0.29  0.34 0.033 0.071 0.055 17:47:20.0736                    -28:21:56.16                     2 core                     6              5.2
352  0.13  0.16 0.032 0.057 0.052 17:47:20.4792                    -28:22:42.816                    2 core                     3              3.9
353  0.18  0.19 0.032 0.073 0.052 17:47:20.1768                    -28:22:42.312                    1 core                     3              4.2
354  0.25  0.28 0.032 0.071 0.057 17:47:20.4504                    -28:22:42.096                    2 core                     5              4.7
355  0.45  0.37 0.032 0.093 0.067 17:47:20.1192                    -28:22:42.096                    2 core                     7              7.9
356  0.38  0.25 0.032 0.122 0.055 17:47:19.0872                    -28:22:41.34                     2 core                     4              7.5
357  0.20  0.23 0.032 0.087 0.042 17:47:18.072                     -28:22:12.576                    2 core                     4              4.2
358  0.09  0.19 0.032 0.045 0.038 17:47:18.0624                    -28:22:12.612                    1 core                     3              2.2
359  0.49  0.32 0.032 0.096 0.077 17:47:18.0936                    -28:22:12.324                    2 core                     6              8.9
360  0.60  0.46 0.032 0.105 0.062 17:47:18.2304                    -28:22:10.38                     2 core     105             9             10.0
361  0.13  0.21 0.032 0.054 0.048 17:47:18.8328                    -28:22:40.152                    1 core                     4              2.8
362  1.46  0.71 0.032 0.116 0.106 17:47:17.9472                    -28:22:19.416                    2 core     137            14             23.1
363  0.26  0.23 0.032 0.092 0.056 17:47:17.9808                    -28:22:19.308                    1 core                     4              5.4
364  0.18  0.23 0.032 0.061 0.056 17:47:17.94                      -28:22:13.368                    2 core                     4              3.8
365  0.92  0.50 0.032 0.131 0.083 17:47:17.9616                    -28:22:13.224                    2 core                    10             15.1
366  0.22  0.19 0.032 0.083 0.058 17:47:17.9856                    -28:22:13.224                    1 core                     3              5.3
367  0.85  0.43 0.032 0.111 0.094 17:47:18                         -28:22:13.116                    2 core                     8             14.3
368 10.47  1.03 0.032 0.242 0.228 17:47:18.1056                    -28:22:06.96                     0 HII      102            20                 
370  0.16  0.24 0.034 0.057 0.048 17:47:19.0464                    -28:21:53.172                    2 core                     4              3.2
371  0.69  0.25 0.037 0.130 0.093 17:47:17.868                     -28:22:37.164                    2 core     135             5             14.7
373  0.06  0.20 0.042 0.047 0.022 17:47:17.232                     -28:22:18.552                    2 core     134             4              1.9
374  0.99  0.62 0.044 0.102 0.081 17:47:17.6472                    -28:22:40.944                    2 core     247            12             16.5
375  0.27  0.24 0.044 0.118 0.045 17:47:17.6952                    -28:22:40.188                    1 core                     4              6.9
379  0.58  0.51 0.044 0.088 0.062 17:47:17.964                     -28:21:53.1                      2 core     133            10             10.0
380  0.67  0.56 0.047 0.085 0.070 17:47:20.8104                    -28:21:40.896                    2 core                    11             11.5
